dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_src_dport_ltm,ct_dst_sport_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,is_sm_ips_ports,attack_cat,label,detection_score,true_label,timestamp,detected_by_model
1.292678,tcp,ftp,FIN,52,54,2934,3740,81.22672,17811.086,22718.729,11,15,25.340315,24.37966,2032.4,67.80459,255,1861926481,1972779139,255,0.000703,0.000548,0.000155,56,69,0,0,1,1,1,1,0,0,Normal,0,0.75,0,2025-07-15T10:25:34.380772,Flow_Aware_LSH
7e-06,udp,dns,INT,2,0,114,0,142857.14,65142856.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,5,4,0,0,0,0,Generic,1,0.75,1,2025-07-15T10:25:34.385973,Flow_Aware_LSH
1e-05,udp,dns,INT,2,0,114,0,100000.0,45600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,23,13,0,0,0,0,Generic,1,0.8359375,1,2025-07-15T10:25:34.391120,Flow_Aware_LSH
8e-06,udp,dns,INT,2,0,114,0,125000.0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,18,18,0,0,0,0,Generic,1,0.9,1,2025-07-15T10:25:34.396321,Flow_Aware_LSH
0.018855,tcp,-,FIN,16,18,1540,1644,1750.1989,612675.7,658923.4,4,4,1.2362,1.077,74.17298,2.182503,255,1379963200,1384679756,255,0.000676,0.000543,0.000133,96,91,0,0,6,1,0,0,0,0,Normal,0,0.75,0,2025-07-15T10:25:34.401431,Flow_Aware_LSH
0.558848,tcp,-,FIN,10,14,794,6798,41.15609,10235.341,90371.62,2,4,62.094223,38.441383,3779.3762,3149.3591,255,321857326,1523280552,255,0.121613,0.058328,0.063285,79,486,0,0,1,1,0,0,0,0,Exploits,1,0.8265625,1,2025-07-15T10:25:34.411588,Flow_Aware_LSH
9e-06,unas,-,INT,2,0,200,0,111111.11,88888890.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,3,0,0,0,0,Exploits,1,0.75,1,2025-07-15T10:25:34.417902,Flow_Aware_LSH
9e-06,udp,dns,INT,2,0,114,0,111111.11,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,13,13,0,0,0,0,Generic,1,0.8453124999999999,1,2025-07-15T10:25:34.423035,Flow_Aware_LSH
1.116946,tcp,-,FIN,16,12,880,678,24.173058,5908.9697,4455.005,4,4,74.463066,95.46573,4190.257,159.57744,255,3756337194,540536891,255,0.115492,0.059452,0.05604,55,57,0,0,1,1,0,0,0,0,Normal,0,0.8312499999999999,0,2025-07-15T10:25:34.428202,Flow_Aware_LSH
0.338244,tcp,-,FIN,16,18,1540,1644,97.562706,34152.86,36730.883,4,4,22.524668,19.823706,1372.8829,35.2708,255,262419480,301409797,255,0.001421,0.001231,0.00019,96,91,0,0,5,1,0,0,0,0,Normal,0,0.75,0,2025-07-15T10:25:34.433373,Flow_Aware_LSH
2.223076,tcp,pop3,FIN,54,248,2424,304406,135.39798,8564.709,1091025.1,7,122,41.944828,8.857675,2164.253,956.6168,255,2549301961,3192208524,255,0.030255,0.015043,0.015212,45,1227,0,0,1,1,0,0,0,0,Exploits,1,0.8312499999999999,1,2025-07-15T10:25:34.438498,Flow_Aware_LSH
1.462141,tcp,http,FIN,10,10,816,1156,12.994642,4021.4998,5695.757,2,2,162.45233,146.06067,9914.883,241.80807,255,1906168842,3857350311,255,0.208035,0.147593,0.060442,82,116,1,132,1,1,0,0,1,0,Normal,0,0.7927083333333333,0,2025-07-15T10:25:34.438520,Flow_Aware_LSH
9e-06,udp,dns,INT,2,0,114,0,111111.11,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,20,9,0,0,0,0,Generic,1,0.8453124999999999,1,2025-07-15T10:25:34.443612,Flow_Aware_LSH
0.908077,tcp,-,FIN,12,8,1058,756,20.923336,8545.531,5832.1045,3,2,82.50427,119.51029,4478.831,185.91489,255,2802974842,3162288839,255,0.117208,0.071501,0.045707,88,95,0,0,1,1,0,0,0,0,Fuzzers,1,0.9,1,2025-07-15T10:25:34.448774,Flow_Aware_LSH
4e-06,unas,-,INT,2,0,200,0,250000.0,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,3,0,0,0,0,Fuzzers,1,0.85,1,2025-07-15T10:25:34.453929,Flow_Aware_LSH
3e-06,pnni,-,INT,2,0,200,0,200000.0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,6,0,0,0,0,Exploits,1,0.75,1,2025-07-15T10:25:34.453949,Flow_Aware_LSH
30.983368,arp,-,CON,4,4,184,112,0.225928,35.63202,21.689056,0,0,15491.436,15491.436,15491.396,15491.406,0,0,0,0,0.0,0.0,0.0,46,28,0,0,2,2,0,0,0,0,Normal,0,0.75,0,2025-07-15T10:25:34.459028,Flow_Aware_LSH
