Prediction,Score,True_Label,Correct
1,0.75,0,False
1,0.75,1,True
1,0.8359375,1,True
0,0.0,0,True
0,0.0,1,False
1,0.9,1,True
1,0.75,0,False
1,0.8265625,1,True
0,0.0,0,True
1,0.75,1,True
1,0.8453124999999999,1,True
1,0.8312499999999999,0,False
0,0.0,0,True
0,0.0,0,True
1,0.75,0,False
1,0.8312499999999999,1,True
1,0.7927083333333333,0,False
0,0.0,0,True
1,0.8453124999999999,1,True
0,0.0,0,True
1,0.9,1,True
0,0.0,1,False
1,0.85,1,True
1,0.75,1,True
1,0.75,0,False
0,0.0,1,False
1,0.75,1,True
1,0.9,1,True
1,0.9,0,False
0,0.0,0,True
1,0.9,1,True
1,0.9,1,True
1,0.9,1,True
0,0.0,0,True
0,0.0,0,True
1,0.790625,0,False
1,0.75,1,True
0,0.0,0,True
1,0.75,0,False
1,0.75,1,True
1,0.8312499999999999,1,True
1,0.9,0,False
1,0.75,0,False
1,0.85,1,True
1,0.803125,0,False
1,0.75,1,True
1,0.9,1,True
1,0.8265625,0,False
1,0.8359375,0,False
1,0.840625,0,False
1,0.9,1,True
0,0.0,0,True
1,0.8359375,1,True
1,0.8453124999999999,1,True
1,0.9,1,True
1,0.75,0,False
1,0.9,1,True
1,0.8265625,1,True
1,0.9,1,True
1,0.75,0,False
1,0.85,1,True
1,0.75,0,False
0,0.0,0,True
1,0.8453124999999999,1,True
1,0.75,0,False
1,0.8359375,1,True
1,0.9,1,True
1,0.75,0,False
1,0.75,0,False
1,0.8453124999999999,0,False
1,0.8265625,1,True
1,0.75,0,False
0,0.0,0,True
1,0.8546874999999999,1,True
1,0.8640625,0,False
1,0.75,1,True
1,0.75,0,False
0,0.0,0,True
1,0.75,0,False
1,0.75,0,False
1,0.9,1,True
0,0.0,0,True
1,0.75,0,False
0,0.0,0,True
1,0.75,1,True
1,0.75,0,False
1,0.75,1,True
1,0.75,1,True
1,0.9,1,True
1,0.85,1,True
1,0.75,1,True
1,0.8359375,1,True
1,0.75,1,True
1,0.8265625,0,False
1,0.75,0,False
1,0.7796875,0,False
0,0.0,0,True
1,0.8265625,0,False
1,0.9,0,False
1,0.85,0,False
1,0.75,1,True
1,0.8546874999999999,0,False
1,0.75,1,True
1,0.78125,1,True
1,0.8453124999999999,1,True
1,0.75,1,True
1,0.9,1,True
1,0.9,1,True
1,0.840625,0,False
1,0.8359375,1,True
1,0.75,0,False
1,0.75,1,True
1,0.75,0,False
1,0.75,1,True
1,0.8312499999999999,1,True
1,0.9,1,True
1,0.75,0,False
1,0.75,1,True
1,0.75,0,False
1,0.8640625,1,True
1,0.8453124999999999,1,True
1,0.75,1,True
1,0.75,0,False
1,0.75,0,False
0,0.0,0,True
1,0.75,1,True
1,0.8453124999999999,1,True
1,0.8359375,1,True
1,0.9,1,True
1,0.75,0,False
0,0.0,0,True
1,0.75,0,False
1,0.75,0,False
1,0.75,0,False
1,0.75,0,False
1,0.9,0,False
1,0.9,0,False
1,0.8453124999999999,0,False
1,0.8359375,1,True
1,0.75,0,False
1,0.75,0,False
1,0.9,0,False
1,0.9,1,True
1,0.9,1,True
1,0.75,0,False
1,0.9,1,True
1,0.75,0,False
1,0.75,0,False
1,0.9,1,True
1,0.75,0,False
1,0.75,1,True
0,0.0,0,True
1,0.8453124999999999,1,True
1,0.75,1,True
1,0.8312499999999999,0,False
1,0.75,1,True
1,0.75,0,False
0,0.0,0,True
0,0.0,0,True
1,0.75,0,False
1,0.9,1,True
0,0.0,1,False
1,0.75,1,True
1,0.75,0,False
1,0.75,1,True
1,0.8265625,0,False
1,0.8359375,1,True
0,0.0,0,True
0,0.0,1,False
1,0.9,1,True
0,0.0,0,True
0,0.0,1,False
1,0.75,0,False
1,0.85,1,True
1,0.8265625,0,False
1,0.7895833333333333,1,True
1,0.75,1,True
1,0.8359375,1,True
1,0.8453124999999999,1,True
1,0.8453124999999999,1,True
0,0.0,0,True
1,0.75,0,False
1,0.75,0,False
1,0.75,0,False
1,0.75,0,False
1,0.75,1,True
1,0.75,0,False
1,0.8359375,0,False
1,0.75,0,False
1,0.9,1,True
1,0.8453124999999999,1,True
1,0.859375,1,True
1,0.9,1,True
1,0.75,0,False
1,0.75,1,True
1,0.9,1,True
1,0.75,1,True
1,0.8265625,1,True
1,0.8359375,1,True
1,0.9,1,True
1,0.75,1,True
1,0.78125,0,False
0,0.0,0,True
1,0.9,1,True
1,0.9,1,True
1,0.75,1,True
1,0.75,1,True
1,0.75,0,False
1,0.75,0,False
1,0.9,1,True
0,0.0,0,True
1,0.75,1,True
1,0.9,1,True
1,0.75,1,True
0,0.0,0,True
1,0.8359375,0,False
1,0.75,1,True
1,0.9,0,False
1,0.840625,1,True
1,0.8359375,1,True
1,0.8453124999999999,1,True
1,0.8359375,1,True
1,0.8453124999999999,0,False
1,0.9,1,True
1,0.75,0,False
1,0.75,1,True
1,0.75,0,False
1,0.75,1,True
1,0.75,1,True
1,0.75,0,False
0,0.0,0,True
0,0.0,0,True
1,0.75,0,False
1,0.8453124999999999,1,True
1,0.75,0,False
1,0.784375,0,False
1,0.75,1,True
1,0.75,0,False
1,0.75,0,False
1,0.75,1,True
0,0.0,0,True
1,0.75,1,True
1,0.8781249999999999,1,True
1,0.8453124999999999,1,True
1,0.9,1,True
1,0.75,0,False
1,0.75,0,False
1,0.75,0,False
1,0.75,1,True
1,0.75,0,False
1,0.75,0,False
1,0.8359375,1,True
1,0.75,1,True
1,0.75,0,False
1,0.8687499999999999,0,False
1,0.8312499999999999,1,True
1,0.840625,0,False
1,0.8453124999999999,1,True
1,0.75,0,False
1,0.8453124999999999,1,True
1,0.75,1,True
1,0.75,1,True
1,0.75,0,False
1,0.9,1,True
1,0.8453124999999999,1,True
1,0.75,1,True
1,0.8359375,1,True
0,0.0,0,True
1,0.9,0,False
1,0.8546874999999999,1,True
0,0.0,0,True
1,0.75,1,True
1,0.75,0,False
1,0.8453124999999999,1,True
1,0.8359375,1,True
1,0.9,0,False
1,0.8312499999999999,0,False
1,0.8453124999999999,1,True
1,0.75,0,False
1,0.8265625,0,False
1,0.9,1,True
1,0.8359375,1,True
1,0.75,1,True
1,0.75,0,False
1,0.75,1,True
0,0.0,0,True
1,0.75,1,True
1,0.75,0,False
1,0.75,1,True
1,0.75,1,True
1,0.9,0,False
1,0.8453124999999999,0,False
0,0.0,1,False
0,0.0,0,True
1,0.8265625,1,True
1,0.8359375,1,True
1,0.9,1,True
1,0.9,1,True
1,0.75,0,False
1,0.9,1,True
1,0.9,1,True
1,0.859375,1,True
1,0.75,0,False
1,0.8453124999999999,1,True
1,0.75,1,True
1,0.79125,0,False
0,0.0,0,True
0,0.0,0,True
0,0.0,1,False
1,0.8359375,0,False
1,0.85,1,True
1,0.75,1,True
1,0.75,0,False
1,0.75,0,False
1,0.8359375,1,True
0,0.0,0,True
1,0.9,0,False
1,0.8359375,0,False
1,0.75,1,True
1,0.9,1,True
1,0.75,0,False
1,0.9,1,True
1,0.9,0,False
1,0.75,0,False
1,0.9,1,True
1,0.9,0,False
1,0.75,1,True
1,0.75,0,False
1,0.75,1,True
1,0.75,1,True
1,0.75,0,False
1,0.9,1,True
1,0.75,0,False
1,0.8546874999999999,1,True
1,0.9,1,True
0,0.0,1,False
1,0.75,1,True
0,0.0,0,True
1,0.75,1,True
1,0.75,0,False
1,0.75,0,False
0,0.0,0,True
0,0.0,1,False
1,0.8359375,1,True
1,0.75,1,True
0,0.0,0,True
1,0.78671875,0,False
1,0.75,1,True
1,0.8359375,1,True
1,0.75,0,False
1,0.75,0,False
0,0.0,0,True
1,0.78125,0,False
1,0.9,1,True
1,0.75,0,False
1,0.78,1,True
1,0.75,1,True
1,0.75,1,True
1,0.75,1,True
0,0.0,0,True
1,0.859375,0,False
1,0.9,0,False
1,0.9,1,True
1,0.75,1,True
1,0.8453124999999999,0,False
0,0.0,0,True
1,0.9,0,False
1,0.8453124999999999,1,True
0,0.0,0,True
1,0.75,0,False
1,0.85,1,True
1,0.8359375,1,True
0,0.0,0,True
0,0.0,1,False
1,0.75,0,False
1,0.8453124999999999,0,False
0,0.0,0,True
1,0.75,1,True
0,0.0,0,True
1,0.75,1,True
1,0.9,1,True
1,0.75,1,True
1,0.9,1,True
1,0.8359375,1,True
1,0.9,1,True
1,0.75,0,False
1,0.9,0,False
1,0.8265625,1,True
1,0.840625,0,False
1,0.75,0,False
1,0.75,0,False
1,0.75,1,True
1,0.859375,1,True
1,0.75,1,True
1,0.75,0,False
1,0.75,1,True
1,0.9,1,True
0,0.0,0,True
1,0.9,1,True
1,0.9,1,True
1,0.9,1,True
0,0.0,0,True
1,0.75,1,True
1,0.75,1,True
1,0.75,1,True
1,0.75,0,False
0,0.0,0,True
0,0.0,0,True
1,0.9,1,True
1,0.9,1,True
1,0.9,1,True
1,0.75,1,True
1,0.8546874999999999,1,True
0,0.0,0,True
1,0.8359375,1,True
1,0.75,0,False
1,0.8312499999999999,1,True
1,0.9,0,False
0,0.0,0,True
1,0.8453124999999999,1,True
1,0.75,0,False
1,0.75,0,False
1,0.75,0,False
1,0.8312499999999999,1,True
1,0.75,1,True
1,0.75,1,True
1,0.8453124999999999,1,True
1,0.75,1,True
0,0.0,0,True
1,0.9,1,True
1,0.8359375,1,True
1,0.9,1,True
1,0.75,1,True
1,0.8359375,0,False
1,0.8265625,0,False
1,0.75,0,False
0,0.0,0,True
1,0.9,1,True
1,0.75,1,True
1,0.75,1,True
1,0.75,1,True
1,0.9,0,False
1,0.75,0,False
1,0.8265625,0,False
1,0.75,0,False
1,0.9,1,True
1,0.9,1,True
1,0.75,1,True
1,0.75,1,True
1,0.8359375,1,True
1,0.75,1,True
1,0.75,0,False
1,0.75,0,False
1,0.8359375,0,False
1,0.75,1,True
1,0.75,0,False
1,0.75,1,True
1,0.840625,1,True
1,0.9,1,True
0,0.0,1,False
1,0.9,1,True
1,0.75,1,True
1,0.8453124999999999,1,True
0,0.0,0,True
1,0.75,1,True
1,0.9,0,False
1,0.75,0,False
1,0.75,1,True
1,0.75,1,True
1,0.78125,1,True
1,0.75,1,True
1,0.75,0,False
1,0.9,1,True
1,0.75,0,False
0,0.0,0,True
1,0.9,1,True
1,0.8546874999999999,1,True
0,0.0,0,True
1,0.85,0,False
1,0.8265625,0,False
1,0.9,1,True
1,0.75,0,False
1,0.75,1,True
0,0.0,0,True
1,0.8453124999999999,1,True
1,0.85,1,True
1,0.75,0,False
1,0.8453124999999999,1,True
1,0.8546874999999999,1,True
1,0.75,0,False
1,0.75,0,False
1,0.75,0,False
1,0.8359375,1,True
1,0.75,0,False
1,0.8359375,1,True
1,0.7916666666666666,1,True
1,0.75,1,True
1,0.75,1,True
1,0.75,1,True
1,0.9,0,False
1,0.75,0,False
1,0.75,0,False
1,0.75,1,True
1,0.8453124999999999,1,True
1,0.75,1,True
1,0.75,1,True
0,0.0,1,False
1,0.75,0,False
1,0.8453124999999999,1,True
1,0.9,1,True
1,0.9,0,False
1,0.8359375,1,True
1,0.75,1,True
0,0.0,0,True
1,0.9,1,True
0,0.0,0,True
1,0.75,0,False
1,0.75,1,True
1,0.75,0,False
0,0.0,0,True
1,0.75,1,True
1,0.75,1,True
1,0.75,0,False
1,0.85,1,True
1,0.9,0,False
1,0.9,1,True
0,0.0,0,True
1,0.8453124999999999,0,False
1,0.8546874999999999,0,False
0,0.0,0,True
1,0.75,1,True
1,0.8359375,1,True
1,0.75,1,True
1,0.9,1,True
0,0.0,0,True
1,0.8359375,1,True
1,0.9,1,True
1,0.9,1,True
1,0.85,1,True
1,0.9,0,False
1,0.8453124999999999,1,True
1,0.75,1,True
1,0.9,1,True
0,0.0,0,True
1,0.75,0,False
1,0.75,0,False
1,0.8453124999999999,1,True
1,0.8312499999999999,0,False
1,0.8453124999999999,1,True
1,0.8453124999999999,0,False
1,0.75,1,True
1,0.75,0,False
1,0.75,0,False
1,0.75,0,False
1,0.75,1,True
1,0.75,0,False
1,0.9,0,False
1,0.75,1,True
1,0.75,1,True
1,0.8359375,1,True
1,0.9,0,False
1,0.75,1,True
1,0.75,1,True
1,0.8265625,1,True
1,0.75,1,True
1,0.75,0,False
1,0.9,1,True
1,0.9,1,True
1,0.8546874999999999,1,True
0,0.0,0,True
1,0.75,0,False
1,0.75,1,True
1,0.840625,1,True
1,0.75,1,True
1,0.8312499999999999,0,False
1,0.9,1,True
0,0.0,1,False
1,0.75,0,False
1,0.75,1,True
1,0.75,1,True
1,0.75,0,False
1,0.75,1,True
1,0.9,1,True
1,0.8359375,1,True
1,0.75,0,False
1,0.9,1,True
1,0.9,1,True
1,0.75,0,False
1,0.75,0,False
1,0.8453124999999999,1,True
0,0.0,0,True
0,0.0,0,True
1,0.9,1,True
1,0.8359375,1,True
1,0.75,0,False
1,0.75,1,True
1,0.75,1,True
1,0.9,1,True
1,0.75,1,True
1,0.8359375,0,False
0,0.0,0,True
1,0.75,0,False
1,0.7828125,1,True
1,0.8453124999999999,1,True
1,0.9,1,True
1,0.75,0,False
0,0.0,1,False
1,0.75,1,True
1,0.9,0,False
0,0.0,0,True
1,0.8734375,0,False
1,0.75,0,False
0,0.0,0,True
1,0.9,1,True
1,0.9,1,True
1,0.75,0,False
1,0.9,1,True
1,0.75,1,True
0,0.0,0,True
1,0.8312499999999999,0,False
1,0.75,0,False
1,0.75,1,True
1,0.8453124999999999,1,True
1,0.8265625,0,False
1,0.75,0,False
1,0.9,1,True
1,0.75,0,False
0,0.0,0,True
0,0.0,0,True
1,0.75,0,False
1,0.75,0,False
0,0.0,0,True
1,0.75,0,False
1,0.75,0,False
0,0.0,1,False
1,0.75,1,True
1,0.9,1,True
1,0.75,1,True
1,0.75,1,True
1,0.75,0,False
1,0.75,0,False
1,0.78125,0,False
0,0.0,0,True
1,0.75,0,False
1,0.8359375,1,True
1,0.8453124999999999,1,True
1,0.75,1,True
0,0.0,0,True
1,0.75,0,False
1,0.9,1,True
1,0.85,1,True
1,0.9,1,True
1,0.9,1,True
1,0.75,0,False
1,0.75,1,True
1,0.7953125,0,False
1,0.75,1,True
0,0.0,0,True
1,0.85,1,True
1,0.8359375,1,True
1,0.75,0,False
1,0.75,1,True
0,0.0,0,True
1,0.75,0,False
1,0.75,0,False
1,0.75,0,False
1,0.9,1,True
1,0.78,1,True
1,0.8359375,1,True
1,0.75,1,True
1,0.75,0,False
1,0.9,1,True
1,0.9,1,True
1,0.7875,0,False
1,0.9,1,True
1,0.75,1,True
1,0.8453124999999999,1,True
0,0.0,0,True
1,0.9,1,True
1,0.8359375,1,True
1,0.75,1,True
1,0.9,1,True
0,0.0,0,True
1,0.9,1,True
1,0.8312499999999999,0,False
1,0.9,1,True
1,0.9,0,False
1,0.75,1,True
0,0.0,0,True
1,0.75,0,False
1,0.8453124999999999,1,True
1,0.75,0,False
1,0.75,0,False
1,0.75,0,False
