Metric,Mean,Std
train_time_seconds,17.79038534164429,0.37482127380377167
test_time_seconds,7.264881348609924,0.28880123060782714
flows_processed,1200.0,0.0
flows_per_second,165.44200198134055,6.643604756047331
train_memory_usage_kb,1395.2,2565.402299835252
train_peak_memory_kb,1331.2,2397.5325983185294
train_cpu_usage_percent,105.44295573888216,10.401845257344492
test_memory_usage_kb,25.6,51.20000000000001
test_peak_memory_kb,25.6,51.20000000000001
test_cpu_usage_percent,116.40795767928516,46.4124865641073
lsh_avg_flow_time_ms,1.5192974980000145,0.22724250603271867
baseline_avg_flow_time_ms,2.818401655006255,0.13196353335214248
lsh_hash_tables_kb,0.1796875,0.0
lsh_normal_embeddings_kb,25.4296875,0.0
lsh_hash_functions_kb,0.1796875,0.0
quantizer_params_kb,0.3515625,0.0
feature_extractor_kb,0.046875,0.0
isolation_forest_kb,0.046875,0.0
one_class_svm_kb,0.046875,0.0
scaler_kb,0.046875,0.0
total_lsh_model_kb,26.1875,0.0
total_baseline_models_kb,0.140625,0.0
